"delivery_id","order_id","driver_id","hub_id","delivery_status","route_distance_km","manual_route_override_count","customer_rating_post_delivery","fuel_or_charge_cost","service_type","order_value","pickup_zone","dropoff_zone","priority_level","booking_channel","promised_window_hours"
"DL00094","O01026","D034","H04","Delayed",4.66,0,3.72,16.6,"Business",20.25,"West","Ctr","High","Phone",1
"DL00095","O00416","D031","H08","OnTime",28.69,1,5,13.48,"Medical",26.83,"Airport","Airport","High","App",2
"DL00096","O00961","D077","H01","Delayed",1.2,0,3.24,2.61,"Parcel",168.98,"Ctr","Airport","Medium","App",4
"DL00097","O00794","D170","H07","Failed",10.54,1,3.58,3.56,"Retail",154.5,"CENTRAL","Airport","Low","App",12
"DL00098","O00631","D004","H07","Failed",3.86,1,4.43,15.58,"Business",47.21,"SOUTH","RiverSide","Low","App",2
"DL00099","O00835","D127","H01","OnTime",5.6,2,4.75,13.26,"Passenger",51,"SOUTH","Airport","Medium","App",6
"DL00100","O00205","D120","H05","Failed",8.64,0,3.14,13.47,"Parcel",63.36,"North","SOUTH","Medium","App",6
"DL00101","O00354","D141","H06","OnTime",21.63,0,4.12,14.3,"Parcel",78.37,"EAST","Riverside","Low","Web",2
"DL00102","O00578","D031","H02","Delayed",9.18,0,3.08,11.31,"Retail",18.53,"Ctr","Central","High","App",4
"DL00103","O00269","D004","H04","Failed",6.26,2,2.24,9.31,"Passenger",19.29,"north","RiverSide","Medium","App",6
"DL00104","O00390","D102","H06","OnTime",8.75,0,4.45,7.5,"Passenger",42.46,"NORTH","NORTH","Medium","Web",6
"DL00105","O00596","D020","H01","OnTime",18.52,0,3.73,20.45,"Parcel",119.64,"SOUTH","East","Low","App",12
"DL00106","O00039","D040","H05","OnTime",18.02,0,4.92,15.57,"Parcel",54.85,"East","RiverSide","Low","Web",6
"DL00107","O00175","D120","H05","OnTime",6.47,1,4.69,8.8,"Business",150.9,"Riverside","West","High","App",4
"DL00108","O00620","D084","H06","OnTime",13.73,1,4.73,17.52,"Retail",27.57,"South","West","Low","App",2
"DL00109","O00019","D014","H05","OnTime",16.7,1,3.52,16.91,"Passenger",56.26,"North","CENTRAL","Low","Phone",6
"DL00110","O00045","D024","H03","OnTime",14.39,1,4.74,8.64,"Parcel",56.64,"SOUTH","AIRPORT","Critical",NA,6
"DL00111","O00105","D081","H06","OnTime",18.8,0,5,20.02,"Passenger",18.19,"north","EAST","High","Web",4
"DL00112","O00848","D068","H05","OnTime",10.88,3,3.68,8.03,"Business",27.71,"north","South","High",NA,6
"DL00113","O00607","D072","H05","OnTime",7.42,0,2.94,15.7,"Parcel",219.79,"WEST","West","Low","App",12
"DL00114","O01196","D074","H02","Delayed",16.99,0,2.62,19.44,"Parcel",79.58,"South","EAST","Low","Phone",4
"DL00115","O01132","D030","H04","OnTime",18.75,1,4.35,8.08,"Business",81.66,"South","RiverSide","Low","App",2
"DL00116","O00121","D023","H06","Delayed",19.9,0,2.92,21.64,"Parcel",75.67,"EAST","NORTH","Medium","App",6
"DL00117","O00559","D080","H06","Delayed",11.84,0,2.46,17.91,"Business",107.27,"north","EAST","Medium","Phone",12
"DL00118","O00660","D143","H01","Failed",11.45,3,2.16,8.94,"Passenger",27.65,"Central","Airport","High","Web",4
"DL00119","O01011","D076","H03","Failed",32.37,3,1.71,25.09,"Business",103.05,"AIRPORT","SOUTH","Low","App",12
"DL00120","O00007","D128","H06","Delayed",9.07,1,3.93,9.76,"Business",76.12,"CENTRAL","Airport","Low","App",2
"DL00121","O00091","D078","H05","OnTime",18.81,0,3.92,11.62,"Parcel",43.61,"West","AIRPORT","Critical","Web",6
"DL00122","O00434","D122","H01","OnTime",29.52,4,4.63,10.56,"Parcel",45.89,"Airport","RiverSide","High","App",1
"DL00123","O00284","D030","H04","OnTime",13.45,2,4.75,12.86,"Passenger",116.68,"north","AIRPORT","High","Phone",24
"DL00124","O00210","D113","H05","OnTime",14.23,2,4.78,19.49,"Parcel",106.23,"East","WEST","High","Phone",4
"DL00125","O00472","D021","H05","OnTime",14.25,3,3.68,12.59,"Parcel",287.3,"South","Riverside","Medium","Web",4
"DL00126","O00547","D159","H07","Delayed",17.68,0,2.6,10.92,"Retail",43.73,"Central","South","High","App",24
"DL00127","O01072","D026","H02","Delayed",16.56,2,2.12,11.9,"Passenger",172.79,"WEST","north","High","App",6
"DL00128","O00868","D089","H07","OnTime",9.43,0,4.47,10.47,"Passenger",117.19,"Central","WEST","Medium","Phone",4
"DL00129","O00425","D030","H08","OnTime",21.27,3,5,11.59,"Passenger",78.8,"AIRPORT","East","High","Web",4
"DL00130","O00400","D113","H03","OnTime",17.1,0,3.87,13.53,"Retail",145.15,"North","EAST","High","Web",6
"DL00131","O00890","D037","H07","OnTime",16.59,0,4.33,3.25,"Retail",88.41,"CENTRAL","EAST","High","App",24
"DL00132","O00688","D058","H03","OnTime",19.79,0,4.62,5.66,"Passenger",38.09,"north","West","High","Phone",6
"DL00133","O00761","D083","H03","OnTime",17.73,1,3.29,10.88,"Passenger",109.93,"north","EAST","Low","App",12
"DL00134","O00334","D135","H03","OnTime",13.27,0,3.88,7.63,"Parcel",62.54,"RiverSide","SOUTH","High","API",4
"DL00135","O00225","D069","H03","Failed",10.34,2,3.6,9.3,"Retail",25.8,"RiverSide","RiverSide","Medium",NA,1
"DL00136","O00527","D032","H06","OnTime",4.06,1,4.45,5.7,"Parcel",65.29,"South","Airport","Medium","App",6
"DL00137","O01216","D053","H07","Delayed",13.46,2,2.72,11.11,"Passenger",37.65,"WEST","Airport","Low",NA,6
"DL00138","O00705","D019","H04","OnTime",11.23,2,4.75,15.22,"Parcel",118.52,"NORTH","RiverSide","High","App",6
"DL00139","O01215","D140","H05","OnTime",12.23,0,3.57,13.59,"Business",205.06,"north","Airport","Medium","App",12
"DL00140","O00656","D079","H06","Delayed",15.69,0,2.23,11.96,"Parcel",82.24,"WEST","north","High","Web",6
"DL00141","O00021","D166","H04","OnTime",10.45,1,4.77,7.89,"Passenger",49.99,"WEST","NORTH","Medium","Web",2
"DL00142","O00612","D158","H08","OnTime",4.04,2,3.27,15.78,"Retail",60.06,"WEST","East","Critical","Phone",4
"DL00143","O00757","D026","H04","Delayed",22.37,0,3.64,19.33,"Passenger",81.59,"EAST","South","Medium","Web",12
"DL00144","O00170","D016","H06","OnTime",25.98,4,4.84,27.38,"Business",58.3,"Airport","Airport","High","App",4
"DL00145","O00668","D155","H06","OnTime",29.37,2,3.95,18.72,"Parcel",135.89,"Airport","north","Medium","App",6
"DL00146","O00058","D052","H03","OnTime",22.04,0,4.37,6.16,"Passenger",51.95,"South","EAST","Critical","Web",2
"DL00147","O01116","D123","H06","OnTime",1.21,1,4.08,14.96,"Medical",61.33,"East","WEST","Medium","App",6
"DL00148","O00817","D087","H05","OnTime",16.75,1,4.04,15.84,"Retail",208.48,"north","South","Low","Phone",2
"DL00149","O00789","D024","H08","OnTime",5.74,2,3.83,3.72,"Business",163,"CENTRAL","RiverSide","High","App",6
"DL00150","O01164","D083","H07","Delayed",10.43,0,2.83,10.61,"Parcel",197.5,"RiverSide","West","High","App",4
"DL00151","O00376","D131","H03","OnTime",12.77,1,4.77,10.12,"Passenger",33.38,"NORTH","West","Critical","API",12
"DL00152","O00146","D121","H01","OnTime",3.02,0,4.71,8.34,"Passenger",14.05,"East","South","Medium","Web",12
"DL00153","O00893","D115","H01","Failed",12.85,1,3.96,15.21,"Business",33.29,"South","SOUTH","High","Phone",2
"DL00154","O00071","D018","H08","Failed",7.04,1,4.2,5.23,"Medical",157.58,"North","SOUTH","Low","Phone",1
"DL00155","O00061","D048","H02","OnTime",24.74,1,4.46,18.46,"Passenger",238.9,"AIRPORT","north","High","Web",6
"DL00156","O01086","D100","H08","Delayed",31.74,2,2.18,17.62,"Passenger",140.6,"Airport","South","Low","Phone",4
"DL00157","O01089","D144","H06","OnTime",12.43,2,5,13.52,"Retail",7.74,"RiverSide","NORTH","Low","Phone",2
"DL00158","O00643","D031","H08","Delayed",29.34,3,3.8,15.45,"Parcel",181.69,"Airport","RiverSide","Low","Web",1
"DL00159","O00213","D120","H05","OnTime",11.73,0,5,21.25,"Parcel",161.85,"West","RiverSide","Low","Phone",12
"DL00160","O00874","D108","H04","OnTime",16.67,1,5,9.13,"Parcel",246.43,"East","West","High","Phone",6
"DL00161","O00624","D055","H01","OnTime",16.98,0,4.28,11.8,"Passenger",25.82,"WEST","Ctr","Medium","Web",24
"DL00162","O00854","D122","H02","OnTime",25.94,0,4.84,11.4,"Parcel",90.75,"AIRPORT","AIRPORT","Low","Web",4
"DL00163","O01007","D121","H07","Delayed",9.31,0,2.51,8.76,"Medical",46.92,"Riverside","RiverSide","Medium","App",12
"DL00164","O00066","D045","H03","OnTime",17.31,0,3.9,17.53,"Passenger",237.58,"SOUTH","EAST","Low","App",4
"DL00165","O00852","D006","H03","Delayed",8.64,0,4.55,2.5,"Retail",126.8,"NORTH","Riverside","Medium",NA,2
"DL00166","O00904","D091","H04","Failed",24.07,0,2.08,13.51,"Passenger",95.34,"Airport","Airport","Low","App",4
"DL00167","O00932","D116","H08","Failed",19.44,0,2.56,13.3,"Parcel",51.33,"Airport","West","Medium","Phone",2
"DL00168","O00126","D100","H01","Delayed",30.51,2,4.3,18.34,"Parcel",55.22,"AIRPORT","South","Medium","Web",12
"DL00169","O00996","D037","H07","OnTime",10.5,2,4.08,10.38,"Passenger",52.53,"Central","EAST","High","App",4
"DL00170","O00363","D020","H04","OnTime",10.59,0,4.07,10.74,"Passenger",35.91,"RiverSide","South","High","App",4
"DL00171","O01055","D096","H07","OnTime",23.42,1,4.35,13.6,"Parcel",33.59,"north","South","Medium","Web",6
"DL00172","O00127","D132","H06","Delayed",13.58,2,4.36,11.2,"Parcel",171.31,"East","North","Medium","App",2
"DL00173","O00459","D131","H08","Delayed",15.37,0,3.88,6.1,"Retail",203.99,"SOUTH","South","Low","App",24
"DL00174","O00162","D020","H07","OnTime",9.9,2,4.18,9.86,"Business",139.13,"South","Ctr","Medium","App",12
"DL00175","O00583","D036","H03","OnTime",15.62,1,3.93,9.26,"Retail",89.45,"SOUTH","Riverside","Medium","Web",6
"DL00176","O01200","D061","H05","OnTime",16.02,0,4.36,16.67,"Passenger",68.78,"RiverSide","RiverSide","Low","Web",6
"DL00177","O00164","D123","H01","OnTime",8.31,0,4.85,9.58,"Parcel",211.8,"South","Ctr","Low","App",24
"DL00178","O01166","D024","H05","Failed",13.01,2,3.36,6.79,"Parcel",57.89,"West","north","Medium","Web",4
"DL00179","O00493","D016","H08","Delayed",9.15,1,2.32,12.14,"Parcel",55.91,"EAST","north","Critical","Web",6
"DL00180","O00137","D135","H08","OnTime",19.65,0,4.25,14.94,"Parcel",81.5,"East","SOUTH","High","App",12
"DL00181","O00450","D073","H02","OnTime",12.74,1,5,14.37,"Retail",31.33,"RiverSide","RiverSide","Low","App",2
"DL00182","O00096","D071","H04","OnTime",7.62,0,4.64,14.41,"Business",153.48,"North","WEST","Critical","Web",2
"DL00183","O00808","D049","H05","OnTime",15.14,0,4.23,13.23,"Passenger",79.62,"RiverSide","West","High","App",4
"DL00184","O01005","D023","H07","Failed",13.78,0,2.96,13.86,"Business",127.67,"RiverSide","SOUTH","High","App",12
"DL00185","O01217","D008","H01","OnTime",15.39,3,4.76,13.61,"Passenger",121.06,"CENTRAL","SOUTH","High","Phone",12
"DL00186","O00798","D006","H06","OnTime",14.26,1,4.91,4.79,"Retail",55.01,"South","NORTH","Low","App",4
"DL00187","O00439","D111","H05","Failed",17.61,1,1.53,16.92,"Medical",53.87,"North","Ctr","High","Web",1
"DL00188","O00739","D008","H08","OnTime",5.37,0,5,5.73,"Passenger",76.04,"South","NORTH","Low","Phone",12
"DL00189","O01227","D011","H06","Failed",14.51,1,2.43,12.83,"Medical",95.27,"Ctr","north","High","Phone",2
"DL00190","O00875","D039","H07","OnTime",2.25,0,4.79,7.74,"Business",64.89,"north","East","High","Web",12
"DL00191","O00755","D161","H08","OnTime",13.55,0,3.48,21.6,"Passenger",25.11,"SOUTH","SOUTH","High","App",6
"DL00192","O00118","D095","H04","OnTime",14.13,0,4.64,16.49,"Retail",74.68,"South","SOUTH","Medium","App",6
"DL00193","O00032","D017","H08","OnTime",14.01,4,3.54,9.08,"Passenger",126.43,"CENTRAL","East","Medium","App",1
"DL00194","O00422","D053","H01","Delayed",8.77,2,2.58,9.97,"Passenger",15.05,"Central","West","Medium","App",6
"DL00195","O00462","D162","H06","Delayed",13,1,1.04,10.71,"Parcel",55.77,"RiverSide","EAST","Medium","App",6
"DL00196","O00469","D111","H08","OnTime",13.83,1,3.85,12.41,"Parcel",92.55,"East","East","Low","App",4
"DL00197","O00478","D163","H02","OnTime",11.17,0,5,2.84,"Medical",160.09,"WEST","South","Critical","App",2
"DL00198","O00465","D156","H04","Delayed",8.01,0,3.38,10.98,"Medical",20.53,"EAST","NORTH","Low","App",2
"DL00199","O00821","D086","H05","OnTime",24.31,1,4.36,18.49,"Parcel",78.86,"CENTRAL","SOUTH","Medium","Phone",6
"DL00200","O00406","D160","H06","OnTime",31.46,2,4.38,16.38,"Retail",59.17,"Airport","RiverSide","Critical","App",2
"DL00201","O00008","D036","H03","OnTime",14.08,0,5,12.87,"Parcel",35.06,"Riverside","Riverside","Medium","Phone",4
"DL00202","O01057","D028","H06","Delayed",19.31,2,3.67,17.41,"Passenger",50.3,"AIRPORT","north","Medium","App",4
"DL00203","O00901","D107","H08","Delayed",9.36,2,4.52,7.69,"Retail",136.84,"CENTRAL","Airport","Critical","Phone",2
"DL00204","O00025","D108","H08","OnTime",11.32,1,4.64,15.67,"Passenger",66.51,"North","RiverSide","Critical","App",6
"DL00205","O00375","D039","H03","OnTime",7.16,3,4.17,12.58,"Medical",150.39,"Central","East","High","Phone",4
"DL00206","O00634","D045","H02","OnTime",17.47,1,4.49,15.56,"Parcel",171.58,"East","South","Medium","App",4
"DL00207","O01035","D121","H04","OnTime",18.52,1,4.4,11.28,"Business",54.57,"EAST","RiverSide","Low","App",6
"DL00208","O00964","D087","H01","Failed",21.73,0,3.09,13.36,"Retail",178.23,"CENTRAL","SOUTH","High","Phone",2
"DL00209","O01154","D057","H06","OnTime",11.22,1,4.31,13.88,"Medical",25.19,"SOUTH","South","Low","Phone",12
"DL00210","O01191","D142","H02","Delayed",16.24,3,3.43,13.43,"Business",91.82,"East","North","Low","App",2
"DL00211","O01017","D102","H08","OnTime",12.39,1,4.57,13.18,"Retail",30.84,"CENTRAL","WEST","High","Phone",6
"DL00212","O01105","D142","H01","Delayed",13.85,1,4.29,11.45,"Business",13.4,"East","WEST","Medium","Phone",12
"DL00213","O00807","D025","H02","OnTime",8.57,0,4.33,10.42,"Parcel",155.63,"SOUTH","Riverside","Medium","App",4
"DL00214","O00552","D096","H04","OnTime",6.09,0,3.02,7.3,"Passenger",76.7,"Riverside","South","Low","App",4
"DL00215","O01042","D100","H06","Delayed",22,1,4.79,19.64,"Passenger",54.55,"AIRPORT","EAST","Low","Phone",12
"DL00216","O00167","D146","H07","OnTime",30.01,0,3.37,18.54,"Medical",24.78,"East","EAST","Medium","API",24
"DL00217","O01194","D020","H01","OnTime",22.61,1,4.41,12.17,"Passenger",88.17,"South","Airport","Medium","App",2
"DL00218","O00136","D149","H03","Delayed",3.51,1,3.27,4.15,"Medical",20.82,"North","South","High","App",1
"DL00219","O00513","D087","H07","OnTime",14.41,1,4.59,12.65,"Passenger",111.28,"West","South","High","Phone",4
"DL00220","O00859","D079","H08","OnTime",33.71,4,5,13.79,"Retail",83.53,"Airport","Ctr","Low","App",6
"DL00221","O00594","D151","H02","OnTime",12.09,3,3.25,11.03,"Retail",149.86,"Central","EAST","Medium","App",4
"DL00222","O01010","D121","H06","OnTime",9.72,0,5,8.53,"Business",55.14,"WEST","South","Low",NA,6
"DL00223","O00740","D155","H08","Delayed",12.99,0,3.19,12.3,"Medical",67.9,"East","EAST","Medium","Web",4
"DL00224","O00960","D034","H07","OnTime",11.88,0,3.79,14.2,"Passenger",86.06,"Riverside","NORTH","Medium","App",1
"DL00225","O00056","D150","H05","OnTime",6.21,2,3.98,14.94,"Parcel",160.35,"South","CENTRAL","High","Web",4
"DL00226","O00823","D119","H06","Delayed",9.28,0,2.17,10.29,"Passenger",122.9,"East","North","Medium","App",12
